filename,extension,size,created,modified,sensitive,read_only
3-Months-Chase-Bank-Statement.jpg,jpg,38702,2025-03-06 02:22:55,2025-01-26 16:11:22,1,0
aadhar (2).pdf,pdf,10705702,2025-03-06 02:21:30,2025-03-05 11:43:53,1,0
Aadhar.pdf,pdf,4044079,2025-03-06 02:21:30,2024-03-18 17:29:35,1,0
aadharcard.pdf,pdf,160347,2025-03-06 02:21:09,2025-03-06 01:38:58,1,0
EAadhaar_2821290791431920231220123012_13032024104436.pdf,pdf,985509,2025-03-06 02:21:30,2024-03-13 10:46:18,1,0
MTeck_s_Resume.pdf,pdf,68795,2025-03-06 02:23:01,2025-01-30 14:38:18,1,0
my pancard.pdf,pdf,122668,2025-03-06 02:21:09,2025-03-06 01:39:42,1,0
prj electioncard.pdf,pdf,117273,2025-03-06 02:21:09,2025-03-06 01:39:35,1,0
SampleContract-Shuttle.pdf,pdf,49647,2025-03-06 02:23:01,2025-01-30 10:43:35,1,0
scanned_aadharcard.pdf,pdf,82648,2025-03-06 02:21:09,2025-03-06 01:39:29,1,0
12210488_answerPaper.docx,docx,18571,2025-03-06 02:22:57,2025-02-22 12:52:59,0,0
12210488_answerPaper.pdf,pdf,44380,2025-03-06 02:22:57,2025-02-22 12:54:07,0,0
1A.pdf,pdf,62715,2025-03-06 02:22:56,2025-02-22 19:50:58,0,0
1ABstudentAns.docx,docx,16989,2025-03-06 02:22:56,2025-02-23 00:11:40,0,0
1ABstudentAns.pdf,pdf,585057,2025-03-06 02:22:56,2025-02-23 00:12:20,0,0
1AstudentAns.docx,docx,14385,2025-03-06 02:22:56,2025-02-23 00:08:26,0,0
1AstudentAns.pdf,pdf,41394,2025-03-06 02:22:56,2025-02-23 00:09:12,0,0
1B.pdf,pdf,57412,2025-03-06 02:22:56,2025-02-22 20:24:24,0,0
678e35c9bd158_HackSphere_Template (3).ppt,ppt,2530816,2025-03-06 02:22:55,2025-01-26 15:52:17,0,0
answerSheetImg1.jpg,jpg,22101,2025-03-06 02:22:57,2025-02-22 13:53:29,0,0
AnswerSheet_templet.docx,docx,22485,2025-03-06 02:22:57,2025-02-22 12:48:03,0,0
AnswerSheet_templet.pdf,pdf,59818,2025-03-06 02:22:57,2025-02-22 12:56:31,0,0
answerSS1.docx,docx,14933,2025-03-06 02:22:56,2025-02-23 02:20:04,0,0
answerSS1.pdf,pdf,85180,2025-03-06 02:22:56,2025-02-23 02:17:28,0,0
Banking Regulation ACT 1949.pdf,pdf,920008,2025-03-06 02:21:52,2025-03-01 20:06:58,0,0
BNS.pdf,pdf,871650,2025-03-06 02:22:55,2025-01-29 13:34:21,0,0
BNSS.pdf,pdf,1152442,2025-03-06 02:22:55,2025-01-29 13:34:38,0,0
BSA.pdf,pdf,501655,2025-03-06 02:22:55,2025-01-29 13:34:30,0,0
chatbot.py,py,1051,2025-03-06 02:23:01,2025-02-13 22:21:26,0,0
